source,target,content
hufflepuffrogue,HoarseWisperer,non tweet
CBD4Pain,CBD4Pain,tweet
OmarInCongress,OmarInCongress,tweet
lilbit2498,lilbit2498,tweet
JackMonowitz,NAACP,non tweet
JackMonowitz,NAACP_LDF,non tweet
JackMonowitz,BlackVetProject,non tweet
JackMonowitz,blackvets,non tweet
JackMonowitz,24Tuskeegee,non tweet
JackMonowitz,HBCUBuzz,non tweet
JackMonowitz,HBCUDigest,non tweet
JackMonowitz,tmcf_hbcu,non tweet
JackMonowitz,hbcu,non tweet
JackMonowitz,Blacklawyers1,non tweet
JackMonowitz,BlackDocs,non tweet
JackMonowitz,blackdoctorsnc,non tweet
JackMonowitz,blacknursesrock,non tweet
JackMonowitz,SanDiego_BNA,non tweet
JackMonowitz,BlackProfessor,non tweet
JackMonowitz,BlackEngineer79,non tweet
JackMonowitz,BlackPhysicists,non tweet
JackMonowitz,blackmomvibes,non tweet
JackMonowitz,blackprog,non tweet
StephieMm,StephieMm,tweet
Bry09212,RealJamesWoods,non tweet
pupsterx25,pupsterx25,tweet
Nico_Jack_,Nico_Jack_,tweet
healthybuttrfly,jfusca29,non tweet
healthybuttrfly,NBCNews,non tweet
healthybuttrfly,JoeBiden,non tweet
healthybuttrfly,staceyabrams,non tweet
MayMilesThomas,PeterKGeoghegan,non tweet
fmnsthist89,fmnsthist89,tweet
BeingWhiteIsGr8,BeingWhiteIsGr8,tweet
arebecomenew,snowmanomics,non tweet
arebecomenew,JohnJamesMI,non tweet
arebecomenew,JoeBiden,non tweet
JuliaPHawthorne,ofcrdeonjoseph,non tweet
SC_Conservatism,JoeBiden,non tweet
BuddyWinston,realDonaldTrump,non tweet
Cruel1Summer3,noahcent,non tweet
The_Siciliano,BLMNational,non tweet
stanonikaaa,stanonikaaa,tweet
Asesina_17,JoeBiden,non tweet
PornPanic,PornPanic,tweet
Beth_Levison,womeninbluedoc,non tweet
Beth_Levison,ITVSIndies,non tweet
Beth_Levison,ForkFilms,non tweet
VampyKiss,TheDemocrats,non tweet
VampyKiss,donlemon,non tweet
VampyKiss,johnlegend,non tweet
VampyKiss,BarackObama,non tweet
VampyKiss,WhoopiGoldberg,non tweet
TheLivesThatMtr,TheLivesThatMtr,tweet
nycpaf,realDonaldTrump,non tweet
nycpaf,JoeBiden,non tweet
nycpaf,PeteButtigieg,non tweet
nycpaf,ewarren,non tweet
liberaldee1,liberaldee1,tweet
ZinnEdProject,ZinnEdProject,tweet
destinylexi3,latinadream1,non tweet
destinylexi3,chancetherapper,non tweet
Aspies123,JoeBiden,non tweet
Aspies123,mmpadellan,non tweet
DrandMrJeff516,DrandMrJeff516,tweet
Aspies123,JoeBiden,non tweet
Aspies123,BLMNational,non tweet
tazgezwitscher,tazgezwitscher,tweet
legendarrius__,nowthisnews,non tweet
legendarrius__,UN,non tweet
legendarrius__,hrw,non tweet
Aspies123,JoeBiden,non tweet
Aspies123,mmpadellan,non tweet
Aspies123,kylegriffin1,non tweet
Aspies123,robreiner,non tweet
KingKayweezy,KingKayweezy,tweet
masspeaceaction,masspeaceaction,tweet
Alpha_Talk_,dss61,non tweet
Alpha_Talk_,ROMEROJUANES5,non tweet
Alpha_Talk_,BBCWorld,non tweet
clairemmassey,clairemmassey,tweet
BOthaBeast,BOthaBeast,tweet
jacqui_gavin,J1ten,non tweet
mihirzabaan,mihirzabaan,tweet
LilyMayGracie,LilyMayGracie,tweet
BuddyWinston,BuddyWinston,tweet
BuddyWinston,BuddyWinston,tweet
BuddyWinston,BuddyWinston,tweet
Huh70447587,iaactivists,non tweet
thedunne,thehill,non tweet
PTheeEducator,voxdotcom,non tweet
Al_AndaluZ,Wikkid_Buc,non tweet
TheHusayn,TheHusayn,tweet
ActionTime,ActionTime,tweet
PanAfricology,PanAfricology,tweet
Softest_Bloom,Softest_Bloom,tweet
thenucleardaisy,thenucleardaisy,tweet
PTheeEducator,PTheeEducator,tweet
shahedalkhatib8,shahedalkhatib8,tweet
amb__rose_x,amb__rose_x,tweet
QueenLozah,QueenLozah,tweet
citadel_gso,gregdrumwright,non tweet
Kevz440704,Kevz440704,tweet
wuperkins,ericmetaxas,non tweet
HumanRussell777,HumanRussell777,tweet
wuperkins,Diddy,non tweet
MammaDoggo,Blklivesmatter,non tweet
MinouChrystayl,hdrewxxl,non tweet
wuperkins,cspanwj,non tweet
MammaDoggo,Blklivesmatter,non tweet
econlawjay,Rashidbelike,non tweet
econlawjay,MrMike_H,non tweet
econlawjay,EoinHiggins_,non tweet
econlawjay,BlogWood,non tweet
econlawjay,JoeBiden,non tweet
wuperkins,wuperkins,tweet
wuperkins,HISTORY,non tweet
siriusbrown007,EricSColeman,non tweet
siriusbrown007,acnewsitics,non tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
SOREADY4LUV,NICOLERELOADED,non tweet
SOREADY4LUV,SOREADY4LUV,tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
yuusmine,yuusmine,tweet
SOREADY4LUV,SOREADY4LUV,tweet
SOREADY4LUV,Official1SP,non tweet
