source,target,content
AdilaHaki,nycpa,non tweet
AdilaHaki,NYCSpeakerCoJo,non tweet
AdilaHaki,RepJeffries,non tweet
AdilaHaki,AndreaSCousins,non tweet
AdilaHaki,CarlHeastie,non tweet
AdilaHaki,CarlEHeastie,non tweet
porter711,porter711,tweet
DerrickMaine1,ErrolWebber,non tweet
DerrickMaine1,realDonaldTrump,non tweet
JoshJay990,JoshJay990,tweet
TKPositionality,TKPositionality,tweet
dimensiondeetv,dimensiondeetv,tweet
JRCharney,JRCharney,tweet
archivejarpad,archivejarpad,tweet
SativaDivineUO,YouTube,non tweet
FairlyScunnered,JayJay03038181,non tweet
FairlyScunnered,LewisHamilton,non tweet
FairlyScunnered,spinzbeatsinc,non tweet
Taragram293,Taragram293,tweet
theblackssheep,JoeBiden,non tweet
porter711,porter711,tweet
BirthgiverLynn,BirthgiverLynn,tweet
MrSnipe8,MrSnipe8,tweet
lkaran,lkaran,tweet
KingsLarryJust1,KingsLarryJust1,tweet
citizenpips,Darth_Pingu,non tweet
KingsLarryJust1,TinaStover13,non tweet
nebiliimla,kralicetrans,non tweet
ThePestoPot,Ludwig_FLFNC,non tweet
LindaChocolate2,DanJH20,non tweet
LindaChocolate2,Breaking911,non tweet
porter711,porter711,tweet
klebdavid911,LionelMedia,non tweet
MarkShostrom,MarkShostrom,tweet
mikekahnle,mikekahnle,tweet
mikekahnle,mikekahnle,tweet
d_k_lawhorn,d_k_lawhorn,tweet
patrickmkelly_,patrickmkelly_,tweet
UntameableK,UntameableK,tweet
woroworld,Morning_Joe,non tweet
woroworld,foxandfriends,non tweet
woroworld,CNN,non tweet
woroworld,maddow,non tweet
RebelNewsOnline,SheilaGunnReid,non tweet
F1Tornello,F1Tornello,tweet
otr_la,otr_la,tweet
seth_edmunds,ZachJoachim,non tweet
seth_edmunds,CocaCola,non tweet
ChangingChanne1,ChangingChanne1,tweet
Rjs677Stephan,Rjs677Stephan,tweet
DrBHotchkins,DrBHotchkins,tweet
LadyMagaUSA,LadyMagaUSA,tweet
Joseph42717725,Joseph42717725,tweet
MyVoterPledge,MyVoterPledge,tweet
STB_ResonanceFM,Ikki_IAG,non tweet
STB_ResonanceFM,trevornoah,non tweet
say_the_names,say_the_names,tweet
SPLBuzz,SPLBuzz,tweet
GunzAmmo,GunzAmmo,tweet
benyoungstrom,benyoungstrom,tweet
BeTheChampionUR,AnonSolito,non tweet
BeTheChampionUR,OpDeathEaters,non tweet
Jac3dC,Jac3dC,tweet
ThePestoPot,ThePestoPot,tweet
navycop10,navycop10,tweet
ReaLies12,ReaLies12,tweet
GeekGirlStl,GeekGirlStl,tweet
SquaredCircle0,SierraLoxton,non tweet
goodkangaroo,goodkangaroo,tweet
ReparSandra,ReparSandra,tweet
MrJohnbarner,MrJohnbarner,tweet
JLA3500,JLA3500,tweet
This_Is_VOR,chicagosmayor,non tweet
This_Is_VOR,Blklivesmatter,non tweet
No_1STAN,No_1STAN,tweet
WilesWj,JamaalBowmanNY,non tweet
BlazeBrandMan,Alyssa_Milano,non tweet
BlazeBrandMan,realDonaldTrump,non tweet
JonathanDkmps,JonathanDkmps,tweet
exposin40934307,skaijackson,non tweet
ManUreport_,PrinceKaybee_SA,non tweet
revvrw,man_thestreet,non tweet
revvrw,JonahDispatch,non tweet
DrBFPalmer,ColorOfChange,non tweet
DrBFPalmer,ColorOfChange,non tweet
miniefaerie,miniefaerie,tweet
RagnaGarcia,RagnaGarcia,tweet
enjalot,enjalot,tweet
leqtepie,realDonaldTrump,non tweet
leqtepie,TheRevAl,non tweet
DavidFDodge1,happytrumpster,non tweet
DavidFDodge1,CNN,non tweet
ahmadajibayoub,ahmadajibayoub,tweet
bzarhodgpodg,bzarhodgpodg,tweet
ThePestoPot,ThePestoPot,tweet
Manicthe17th,Manicthe17th,tweet
WinnieT04070814,1Dbl_Cheese,non tweet
yourm0mscoochie,yourm0mscoochie,tweet
javillanueva67,javillanueva67,tweet
nkosi_pholani,nkosi_pholani,tweet
GabbieRose26,brianlewis3282,non tweet
GabbieRose26,Msmariablack,non tweet
GabbieRose26,blueheartedly,non tweet
GabbieRose26,jp_wethepeople,non tweet
GabbieRose26,RhymesRadical,non tweet
GabbieRose26,HuntyShadeFish,non tweet
GabbieRose26,bamableu,non tweet
GabbieRose26,MsKnoxVegas,non tweet
GabbieRose26,RichardSchoenh3,non tweet
GabbieRose26,Cathy_WeGotThis,non tweet
